('you', array([[ 0.97045196,  0.02954804]]))
('unit', array([[ 0.12246561,  0.87753439]]))
('next', array([[ 0.12244659,  0.87755341]]))
('fair', array([[ 0.12240255,  0.87759745]]))
('expect', array([[ 0.12240083,  0.87759917]]))
('sweet', array([[ 0.12238967,  0.87761033]]))
('rant', array([[ 0.12236293,  0.87763707]]))
('sandbox', array([[ 0.12236282,  0.87763718]]))
('director', array([[ 0.12236217,  0.87763783]]))
('yesterday', array([[ 0.12232876,  0.87767124]]))
('rawat', array([[ 0.12231038,  0.87768962]]))
('refer', array([[ 0.12229194,  0.87770806]]))
('offered', array([[ 0.12229046,  0.87770954]]))
('audience', array([[ 0.12227346,  0.87772654]]))
('confused', array([[ 0.1222676,  0.8777324]]))
('flat', array([[ 0.12221548,  0.87778452]]))
('flow', array([[ 0.12213967,  0.87786033]]))
('belongs', array([[ 0.122131,  0.877869]]))
('films', array([[ 0.12210003,  0.87789997]]))
('europe', array([[ 0.12207278,  0.87792722]]))
('closer', array([[ 0.12205223,  0.87794777]]))
('schools', array([[ 0.12205167,  0.87794833]]))
('concensus', array([[ 0.12202299,  0.87797701]]))
('survive', array([[ 0.12193754,  0.87806246]]))
('templates', array([[ 0.12191825,  0.87808175]]))
('lost', array([[ 0.12187934,  0.87812066]]))
('merging', array([[ 0.12186572,  0.87813428]]))
('student', array([[ 0.1218444,  0.8781556]]))
('quantum', array([[ 0.12184336,  0.87815664]]))
('highly', array([[ 0.12181598,  0.87818402]]))
('published', array([[ 0.1217872,  0.8782128]]))
('movement', array([[ 0.12177064,  0.87822936]]))
('grounds', array([[ 0.12173821,  0.87826179]]))
('fm', array([[ 0.1217375,  0.8782625]]))
('orange', array([[ 0.12172767,  0.87827233]]))
('staff', array([[ 0.12172753,  0.87827247]]))
('distinct', array([[ 0.12171067,  0.87828933]]))
('influence', array([[ 0.12163765,  0.87836235]]))
('plenty', array([[ 0.12163306,  0.87836694]]))
('favour', array([[ 0.12162947,  0.87837053]]))
('document', array([[ 0.12161541,  0.87838459]]))
('mostly', array([[ 0.12160701,  0.87839299]]))
('village', array([[ 0.12159688,  0.87840312]]))
('revised', array([[ 0.12158353,  0.87841647]]))
('association', array([[ 0.12157644,  0.87842356]]))
('nuclear', array([[ 0.12157461,  0.87842539]]))
('creative', array([[ 0.12157211,  0.87842789]]))
('further', array([[ 0.12156883,  0.87843117]]))
('scholarship', array([[ 0.12156592,  0.87843408]]))
('glad', array([[ 0.12154136,  0.87845864]]))
('brian', array([[ 0.12151928,  0.87848072]]))
('engine', array([[ 0.12150078,  0.87849922]]))
('evolution', array([[ 0.1214718,  0.8785282]]))
('maintain', array([[ 0.12143587,  0.87856413]]))
('blue', array([[ 0.12141934,  0.87858066]]))
('seen', array([[ 0.12140215,  0.87859785]]))
('produce', array([[ 0.12139458,  0.87860542]]))
('referencing', array([[ 0.12139428,  0.87860572]]))
('global', array([[ 0.12139032,  0.87860968]]))
('obscure', array([[ 0.12138081,  0.87861919]]))
('pump', array([[ 0.12137964,  0.87862036]]))
('thy', array([[ 0.12136475,  0.87863525]]))
('issues', array([[ 0.12134602,  0.87865398]]))
('ending', array([[ 0.12134151,  0.87865849]]))
('fought', array([[ 0.12133969,  0.87866031]]))
('expand', array([[ 0.12133897,  0.87866103]]))
('shooting', array([[ 0.12133261,  0.87866739]]))
('direct', array([[ 0.12131698,  0.87868302]]))
('tests', array([[ 0.12129803,  0.87870197]]))
('derived', array([[ 0.12129495,  0.87870505]]))
('dubious', array([[ 0.12128557,  0.87871443]]))
('reader', array([[ 0.12127837,  0.87872163]]))
('opening', array([[ 0.12126189,  0.87873811]]))
('plot', array([[ 0.12126158,  0.87873842]]))
('barnstar', array([[ 0.12124702,  0.87875298]]))
('reasoning', array([[ 0.12122222,  0.87877778]]))
('save', array([[ 0.12118705,  0.87881295]]))
('soul', array([[ 0.12116208,  0.87883792]]))
('search', array([[ 0.12115039,  0.87884961]]))
('seperate', array([[ 0.12110157,  0.87889843]]))
('servers', array([[ 0.12109316,  0.87890684]]))
('health', array([[ 0.12108034,  0.87891966]]))
('copied', array([[ 0.12107284,  0.87892716]]))
('objection', array([[ 0.12105356,  0.87894644]]))
('70', array([[ 0.12099959,  0.87900041]]))
('secondary', array([[ 0.12097763,  0.87902237]]))
('outside', array([[ 0.12096821,  0.87903179]]))
('complaint', array([[ 0.12096153,  0.87903847]]))
('season', array([[ 0.12095439,  0.87904561]]))
('irish', array([[ 0.12093405,  0.87906595]]))
('contributions', array([[ 0.12092433,  0.87907567]]))
('guide', array([[ 0.12091805,  0.87908195]]))
('unnecessary', array([[ 0.12090927,  0.87909073]]))
('conclusion', array([[ 0.12090445,  0.87909555]]))
('become', array([[ 0.12090189,  0.87909811]]))
('wwii', array([[ 0.12089445,  0.87910555]]))
('infinite', array([[ 0.12089107,  0.87910893]]))
('balanced', array([[ 0.1208879,  0.8791121]]))
('french', array([[ 0.12086077,  0.87913923]]))
('proven', array([[ 0.12084242,  0.87915758]]))
('border', array([[ 0.12083657,  0.87916343]]))
('camp', array([[ 0.12080245,  0.87919755]]))
('ron', array([[ 0.12076189,  0.87923811]]))
('however', array([[ 0.1207456,  0.8792544]]))
('uploaded', array([[ 0.12074529,  0.87925471]]))
('forward', array([[ 0.12074272,  0.87925728]]))
('theme', array([[ 0.12073046,  0.87926954]]))
('banned', array([[ 0.120711,  0.879289]]))
('manager', array([[ 0.12070861,  0.87929139]]))
('unable', array([[ 0.12070703,  0.87929297]]))
('appeal', array([[ 0.12069596,  0.87930404]]))
('square', array([[ 0.12065738,  0.87934262]]))
('described', array([[ 0.12063457,  0.87936543]]))
('one', array([[ 0.12055014,  0.87944986]]))
('argued', array([[ 0.12054723,  0.87945277]]))
('cleaned', array([[ 0.12053518,  0.87946482]]))
('cool', array([[ 0.12052271,  0.87947729]]))
('honor', array([[ 0.12045686,  0.87954314]]))
('others', array([[ 0.12044311,  0.87955689]]))
('criteria', array([[ 0.12041122,  0.87958878]]))
('letter', array([[ 0.12040117,  0.87959883]]))
('pretty', array([[ 0.12039005,  0.87960995]]))
('potentially', array([[ 0.12038875,  0.87961125]]))
('independent', array([[ 0.12034472,  0.87965528]]))
('tu', array([[ 0.12029501,  0.87970499]]))
('27', array([[ 0.12028451,  0.87971549]]))
('ms', array([[ 0.12027556,  0.87972444]]))
('candidate', array([[ 0.12027459,  0.87972541]]))
('assertion', array([[ 0.12026945,  0.87973055]]))
('mentions', array([[ 0.12026349,  0.87973651]]))
('bbc', array([[ 0.12026121,  0.87973879]]))
('eyes', array([[ 0.12025432,  0.87974568]]))
('pdf', array([[ 0.12025056,  0.87974944]]))
('dc', array([[ 0.12024918,  0.87975082]]))
('knowing', array([[ 0.12022476,  0.87977524]]))
('possibly', array([[ 0.12021873,  0.87978127]]))
('given', array([[ 0.12019833,  0.87980167]]))
('games', array([[ 0.12017965,  0.87982035]]))
('affected', array([[ 0.12015297,  0.87984703]]))
('multiple', array([[ 0.12013466,  0.87986534]]))
('showed', array([[ 0.12011882,  0.87988118]]))
('11', array([[ 0.12011741,  0.87988259]]))
('having', array([[ 0.12010766,  0.87989234]]))
('formal', array([[ 0.12007241,  0.87992759]]))
('follow', array([[ 0.12005578,  0.87994422]]))
('photos', array([[ 0.12004256,  0.87995744]]))
('explanations', array([[ 0.12004082,  0.87995918]]))
('boxes', array([[ 0.12001784,  0.87998216]]))
('raised', array([[ 0.12000848,  0.87999152]]))
('split', array([[ 0.12000019,  0.87999981]]))
('violated', array([[ 0.11997477,  0.88002523]]))
('pattern', array([[ 0.11993743,  0.88006257]]))
('acharya', array([[ 0.11991986,  0.88008014]]))
('16', array([[ 0.11989593,  0.88010407]]))
('capital', array([[ 0.11989423,  0.88010577]]))
('numbers', array([[ 0.11988836,  0.88011164]]))
('similar', array([[ 0.11987789,  0.88012211]]))
('150', array([[ 0.11985027,  0.88014973]]))
('metal', array([[ 0.11980018,  0.88019982]]))
('forms', array([[ 0.11977786,  0.88022214]]))
('rate', array([[ 0.11976318,  0.88023682]]))
('percent', array([[ 0.11975798,  0.88024202]]))
('ot', array([[ 0.11975032,  0.88024968]]))
('following', array([[ 0.11974677,  0.88025323]]))
('proper', array([[ 0.11971963,  0.88028037]]))
('friendly', array([[ 0.11968288,  0.88031712]]))
('tool', array([[ 0.11963241,  0.88036759]]))
('flip', array([[ 0.11962277,  0.88037723]]))
('hold', array([[ 0.11957787,  0.88042213]]))
('events', array([[ 0.11957635,  0.88042365]]))
('suicide', array([[ 0.11954174,  0.88045826]]))
('red', array([[ 0.11953755,  0.88046245]]))
('large', array([[ 0.11953556,  0.88046444]]))
('purposes', array([[ 0.11953407,  0.88046593]]))
('brought', array([[ 0.11952084,  0.88047916]]))
('last', array([[ 0.11950704,  0.88049296]]))
('terror', array([[ 0.11950193,  0.88049807]]))
('discussions', array([[ 0.11949199,  0.88050801]]))
('eastern', array([[ 0.11942148,  0.88057852]]))
('tutorial', array([[ 0.1194022,  0.8805978]]))
('amongst', array([[ 0.1194019,  0.8805981]]))
('nintendo', array([[ 0.11935169,  0.88064831]]))
('feature', array([[ 0.11930539,  0.88069461]]))
('instructions', array([[ 0.11929408,  0.88070592]]))
('reverted', array([[ 0.11929185,  0.88070815]]))
('our', array([[ 0.11927678,  0.88072322]]))
('48', array([[ 0.11925881,  0.88074119]]))
('replaced', array([[ 0.11925214,  0.88074786]]))
('mike', array([[ 0.11922807,  0.88077193]]))
('track', array([[ 0.1191857,  0.8808143]]))
('dialect', array([[ 0.11914955,  0.88085045]]))
('album', array([[ 0.11914713,  0.88085287]]))
('suggestions', array([[ 0.11907388,  0.88092612]]))
('translation', array([[ 0.11903607,  0.88096393]]))
('based', array([[ 0.1190047,  0.8809953]]))
('violent', array([[ 0.11899262,  0.88100738]]))
('disputed', array([[ 0.11898648,  0.88101352]]))
('young', array([[ 0.11895944,  0.88104056]]))
('aim', array([[ 0.1189583,  0.8810417]]))
('responsibility', array([[ 0.11895685,  0.88104315]]))
('jan', array([[ 0.1189277,  0.8810723]]))
('recall', array([[ 0.11892657,  0.88107343]]))
('kindly', array([[ 0.1189257,  0.8810743]]))
('discussed', array([[ 0.11889471,  0.88110529]]))
('knowledge', array([[ 0.11884592,  0.88115408]]))
('greece', array([[ 0.11881964,  0.88118036]]))
('anarcho', array([[ 0.11881806,  0.88118194]]))
('nomination', array([[ 0.11878944,  0.88121056]]))
('discovered', array([[ 0.11877843,  0.88122157]]))
('mediation', array([[ 0.11877333,  0.88122667]]))
('poland', array([[ 0.11876674,  0.88123326]]))
('remains', array([[ 0.11873198,  0.88126802]]))
('windsor', array([[ 0.1187238,  0.8812762]]))
('initial', array([[ 0.1186969,  0.8813031]]))
('prior', array([[ 0.11869327,  0.88130673]]))
('figures', array([[ 0.11865035,  0.88134965]]))
('ice', array([[ 0.11862451,  0.88137549]]))
('television', array([[ 0.11861979,  0.88138021]]))
('those', array([[ 0.11859615,  0.88140385]]))
('quality', array([[ 0.11855781,  0.88144219]]))
('writes', array([[ 0.11855631,  0.88144369]]))
('hmm', array([[ 0.11852793,  0.88147207]]))
('merge', array([[ 0.11851907,  0.88148093]]))
('41', array([[ 0.11851145,  0.88148855]]))
('fairly', array([[ 0.11850362,  0.88149638]]))
('keith', array([[ 0.11848892,  0.88151108]]))
('itself', array([[ 0.11843159,  0.88156841]]))
('povs', array([[ 0.11843052,  0.88156948]]))
('single', array([[ 0.11842031,  0.88157969]]))
('adminship', array([[ 0.11840769,  0.88159231]]))
('researching', array([[ 0.11838807,  0.88161193]]))
('helpful', array([[ 0.1183606,  0.8816394]]))
('comic', array([[ 0.11834515,  0.88165485]]))
('definitions', array([[ 0.11833448,  0.88166552]]))
('blog', array([[ 0.11833051,  0.88166949]]))
('typing', array([[ 0.11831899,  0.88168101]]))
('result', array([[ 0.11829143,  0.88170857]]))
('bishop', array([[ 0.11828808,  0.88171192]]))
('changes', array([[ 0.11828209,  0.88171791]]))
('acceptable', array([[ 0.11825263,  0.88174737]]))
('weight', array([[ 0.11825077,  0.88174923]]))
('guideline', array([[ 0.11822431,  0.88177569]]))
('caught', array([[ 0.11816584,  0.88183416]]))
('attacking', array([[ 0.11813805,  0.88186195]]))
('72', array([[ 0.11812763,  0.88187237]]))
('finished', array([[ 0.11806624,  0.88193376]]))
('tonight', array([[ 0.11800525,  0.88199475]]))
('elements', array([[ 0.11799602,  0.88200398]]))
('dan', array([[ 0.11795651,  0.88204349]]))
('confirmed', array([[ 0.11795614,  0.88204386]]))
('destruction', array([[ 0.11794113,  0.88205887]]))
('activities', array([[ 0.11792799,  0.88207201]]))
('had', array([[ 0.11792732,  0.88207268]]))
('received', array([[ 0.11789754,  0.88210246]]))
('journal', array([[ 0.11789629,  0.88210371]]))
('condoms', array([[ 0.11789355,  0.88210645]]))
('ok', array([[ 0.11784576,  0.88215424]]))
('sections', array([[ 0.11784097,  0.88215903]]))
('social', array([[ 0.11783467,  0.88216533]]))
('marked', array([[ 0.11783443,  0.88216557]]))
('propose', array([[ 0.11777678,  0.88222322]]))
('31', array([[ 0.11776126,  0.88223874]]))
('former', array([[ 0.11771887,  0.88228113]]))
('advance', array([[ 0.11770307,  0.88229693]]))
('print', array([[ 0.11767002,  0.88232998]]))
('judaism', array([[ 0.11765902,  0.88234098]]))
('validity', array([[ 0.11765633,  0.88234367]]))
('complain', array([[ 0.11765382,  0.88234618]]))
('zero', array([[ 0.11764881,  0.88235119]]))
('mentioning', array([[ 0.1176302,  0.8823698]]))
('wording', array([[ 0.1176298,  0.8823702]]))
('land', array([[ 0.11762869,  0.88237131]]))
('situation', array([[ 0.11761116,  0.88238884]]))
('role', array([[ 0.1176082,  0.8823918]]))
('verified', array([[ 0.11756369,  0.88243631]]))
('station', array([[ 0.1175088,  0.8824912]]))
('eg', array([[ 0.1174879,  0.8825121]]))
('puppy', array([[ 0.11748273,  0.88251727]]))
('semi', array([[ 0.11745518,  0.88254482]]))
('library', array([[ 0.11742649,  0.88257351]]))
('creating', array([[ 0.11742549,  0.88257451]]))
('concept', array([[ 0.11738795,  0.88261205]]))
('esperanza', array([[ 0.11737016,  0.88262984]]))
('mail', array([[ 0.11734693,  0.88265307]]))
('imply', array([[ 0.11734476,  0.88265524]]))
('post', array([[ 0.11734412,  0.88265588]]))
('award', array([[ 0.11727201,  0.88272799]]))
('possible', array([[ 0.1172256,  0.8827744]]))
('spin', array([[ 0.11721145,  0.88278855]]))
('tend', array([[ 0.11715413,  0.88284587]]))
('experiment', array([[ 0.11715378,  0.88284622]]))
('period', array([[ 0.11715326,  0.88284674]]))
('signing', array([[ 0.11712772,  0.88287228]]))
('ali', array([[ 0.11712759,  0.88287241]]))
('indicate', array([[ 0.11712183,  0.88287817]]))
('swedish', array([[ 0.11711427,  0.88288573]]))
('co', array([[ 0.11708744,  0.88291256]]))
('general', array([[ 0.11706732,  0.88293268]]))
('design', array([[ 0.11702841,  0.88297159]]))
('scholars', array([[ 0.11701478,  0.88298522]]))
('water', array([[ 0.11699899,  0.88300101]]))
('archive', array([[ 0.11696867,  0.88303133]]))
('excellent', array([[ 0.11694611,  0.88305389]]))
('heavy', array([[ 0.11687915,  0.88312085]]))
('definitely', array([[ 0.11686398,  0.88313602]]))
('google', array([[ 0.11684187,  0.88315813]]))
('vs', array([[ 0.11673085,  0.88326915]]))
('letters', array([[ 0.1167169,  0.8832831]]))
('entitled', array([[ 0.11671675,  0.88328325]]))
('mar', array([[ 0.11669776,  0.88330224]]))
('small', array([[ 0.11662171,  0.88337829]]))
('moment', array([[ 0.11662156,  0.88337844]]))
('semitic', array([[ 0.11661177,  0.88338823]]))
('operation', array([[ 0.11657457,  0.88342543]]))
('these', array([[ 0.11657388,  0.88342612]]))
('counter', array([[ 0.11655121,  0.88344879]]))
('conservative', array([[ 0.11648697,  0.88351303]]))
('kleagle', array([[ 0.11648261,  0.88351739]]))
('dictionary', array([[ 0.11647557,  0.88352443]]))
('cartoons', array([[ 0.11645109,  0.88354891]]))
('islamic', array([[ 0.11644405,  0.88355595]]))
('inclined', array([[ 0.11638028,  0.88361972]]))
('lists', array([[ 0.11636305,  0.88363695]]))
('yet', array([[ 0.11635635,  0.88364365]]))
('available', array([[ 0.1163425,  0.8836575]]))
('location', array([[ 0.1163341,  0.8836659]]))
('practice', array([[ 0.11631851,  0.88368149]]))
('header', array([[ 0.11631347,  0.88368653]]))
('played', array([[ 0.1162956,  0.8837044]]))
('threats', array([[ 0.11628103,  0.88371897]]))
('revision', array([[ 0.11628052,  0.88371948]]))
('form', array([[ 0.11626417,  0.88373583]]))
('ancestry', array([[ 0.11626296,  0.88373704]]))
('cleanup', array([[ 0.11625652,  0.88374348]]))
('significant', array([[ 0.11623447,  0.88376553]]))
('veganism', array([[ 0.11612836,  0.88387164]]))
('atheism', array([[ 0.116117,  0.883883]]))
('poll', array([[ 0.11609781,  0.88390219]]))
('egypt', array([[ 0.11608519,  0.88391481]]))
('contribute', array([[ 0.11604582,  0.88395418]]))
('been', array([[ 0.11601823,  0.88398177]]))
('need', array([[ 0.11597804,  0.88402196]]))
('william', array([[ 0.11595158,  0.88404842]]))
('modern', array([[ 0.11594009,  0.88405991]]))
('honest', array([[ 0.11590694,  0.88409306]]))
('honestly', array([[ 0.11589139,  0.88410861]]))
('typo', array([[ 0.11588209,  0.88411791]]))
('instance', array([[ 0.11588147,  0.88411853]]))
('wasn', array([[ 0.11586105,  0.88413895]]))
('episode', array([[ 0.11585801,  0.88414199]]))
('disagreement', array([[ 0.11582137,  0.88417863]]))
('per', array([[ 0.1157963,  0.8842037]]))
('harry', array([[ 0.11579381,  0.88420619]]))
('listening', array([[ 0.11575581,  0.88424419]]))
('iranian', array([[ 0.11575485,  0.88424515]]))
('hear', array([[ 0.11573328,  0.88426672]]))
('url', array([[ 0.11571321,  0.88428679]]))
('sub', array([[ 0.11570849,  0.88429151]]))
('chicago', array([[ 0.11570722,  0.88429278]]))
('radio', array([[ 0.11567467,  0.88432533]]))
('didnt', array([[ 0.11563741,  0.88436259]]))
('drop', array([[ 0.11561139,  0.88438861]]))
('without', array([[ 0.11560852,  0.88439148]]))
('permission', array([[ 0.11558126,  0.88441874]]))
('manual', array([[ 0.11551774,  0.88448226]]))
('inaccurate', array([[ 0.1154552,  0.8845448]]))
('county', array([[ 0.1154154,  0.8845846]]))
('helps', array([[ 0.11541268,  0.88458732]]))
('cited', array([[ 0.1153973,  0.8846027]]))
('actual', array([[ 0.11538091,  0.88461909]]))
('opened', array([[ 0.11534823,  0.88465177]]))
('scientists', array([[ 0.11533632,  0.88466368]]))
('services', array([[ 0.11532235,  0.88467765]]))
('northern', array([[ 0.11531972,  0.88468028]]))
('moved', array([[ 0.1153066,  0.8846934]]))
('forth', array([[ 0.11528415,  0.88471585]]))
('found', array([[ 0.1152702,  0.8847298]]))
('uh', array([[ 0.11524359,  0.88475641]]))
('focus', array([[ 0.11524159,  0.88475841]]))
('hence', array([[ 0.11519708,  0.88480292]]))
('basketball', array([[ 0.11516713,  0.88483287]]))
('district', array([[ 0.11515901,  0.88484099]]))
('blanking', array([[ 0.11514049,  0.88485951]]))
('goes', array([[ 0.11510856,  0.88489144]]))
('miss', array([[ 0.11509179,  0.88490821]]))
('featured', array([[ 0.11504206,  0.88495794]]))
('exactly', array([[ 0.11501693,  0.88498307]]))
('obviously', array([[ 0.11501513,  0.88498487]]))
('intention', array([[ 0.11498921,  0.88501079]]))
('edited', array([[ 0.11492738,  0.88507262]]))
('inside', array([[ 0.11492532,  0.88507468]]))
('discuss', array([[ 0.11492409,  0.88507591]]))
('zora', array([[ 0.11487401,  0.88512599]]))
('english', array([[ 0.11486319,  0.88513681]]))
('sports', array([[ 0.11485945,  0.88514055]]))
('irc', array([[ 0.11485245,  0.88514755]]))
('ed', array([[ 0.11484112,  0.88515888]]))
('stubs', array([[ 0.11479624,  0.88520376]]))
('archives', array([[ 0.11473393,  0.88526607]]))
('mind', array([[ 0.11472101,  0.88527899]]))
('believed', array([[ 0.11469224,  0.88530776]]))
('software', array([[ 0.11464372,  0.88535628]]))
('languages', array([[ 0.11452676,  0.88547324]]))
('became', array([[ 0.11449894,  0.88550106]]))
('sometimes', array([[ 0.11442442,  0.88557558]]))
('macedonians', array([[ 0.11438686,  0.88561314]]))
('classic', array([[ 0.11431022,  0.88568978]]))
('usage', array([[ 0.11429717,  0.88570283]]))
('rfar', array([[ 0.11426112,  0.88573888]]))
('messages', array([[ 0.11424521,  0.88575479]]))
('christmas', array([[ 0.11422673,  0.88577327]]))
('map', array([[ 0.11420046,  0.88579954]]))
('pronunciation', array([[ 0.11414311,  0.88585689]]))
('metro', array([[ 0.11411624,  0.88588376]]))
('commercial', array([[ 0.11409397,  0.88590603]]))
('anon', array([[ 0.11404187,  0.88595813]]))
('inclusion', array([[ 0.11403886,  0.88596114]]))
('66', array([[ 0.11399971,  0.88600029]]))
('imo', array([[ 0.11398423,  0.88601577]]))
('stifle', array([[ 0.11398287,  0.88601713]]))
('pronounced', array([[ 0.11394754,  0.88605246]]))
('confusion', array([[ 0.11394272,  0.88605728]]))
('immediately', array([[ 0.11394127,  0.88605873]]))
('relations', array([[ 0.11393752,  0.88606248]]))
('commonwealth', array([[ 0.11392123,  0.88607877]]))
('suggestion', array([[ 0.11392052,  0.88607948]]))
('australian', array([[ 0.11391068,  0.88608932]]))
('explaining', array([[ 0.11389153,  0.88610847]]))
('chat', array([[ 0.11384297,  0.88615703]]))
('thinking', array([[ 0.11379242,  0.88620758]]))
('proposed', array([[ 0.11375321,  0.88624679]]))
('approved', array([[ 0.1137227,  0.8862773]]))
('love', array([[ 0.11371682,  0.88628318]]))
('domain', array([[ 0.11368246,  0.88631754]]))
('specifically', array([[ 0.11365982,  0.88634018]]))
('comics', array([[ 0.11364994,  0.88635006]]))
('culture', array([[ 0.11361983,  0.88638017]]))
('sound', array([[ 0.11351916,  0.88648084]]))
('profile', array([[ 0.11351247,  0.88648753]]))
('worth', array([[ 0.11335051,  0.88664949]]))
('tildes', array([[ 0.11332579,  0.88667421]]))
('biased', array([[ 0.11323417,  0.88676583]]))
('range', array([[ 0.11323191,  0.88676809]]))
('each', array([[ 0.11319252,  0.88680748]]))
('born', array([[ 0.11316342,  0.88683658]]))
('particularly', array([[ 0.11315224,  0.88684776]]))
('theories', array([[ 0.11308875,  0.88691125]]))
('close', array([[ 0.11305228,  0.88694772]]))
('update', array([[ 0.11303658,  0.88696342]]))
('mine', array([[ 0.112966,  0.887034]]))
('balance', array([[ 0.11284539,  0.88715461]]))
('users', array([[ 0.11284404,  0.88715596]]))
('much', array([[ 0.11281151,  0.88718849]]))
('release', array([[ 0.11280541,  0.88719459]]))
('room', array([[ 0.11279407,  0.88720593]]))
('related', array([[ 0.11275777,  0.88724223]]))
('hopefully', array([[ 0.11270842,  0.88729158]]))
('noticed', array([[ 0.11266523,  0.88733477]]))
('major', array([[ 0.11266483,  0.88733517]]))
('thread', array([[ 0.11262621,  0.88737379]]))
('sincerely', array([[ 0.11261537,  0.88738463]]))
('fun', array([[ 0.11259995,  0.88740005]]))
('provided', array([[ 0.11258693,  0.88741307]]))
('directed', array([[ 0.1125117,  0.8874883]]))
('went', array([[ 0.11249889,  0.88750111]]))
('perspective', array([[ 0.1124862,  0.8875138]]))
('difference', array([[ 0.11246839,  0.88753161]]))
('websites', array([[ 0.11239714,  0.88760286]]))
('previous', array([[ 0.11238892,  0.88761108]]))
('removed', array([[ 0.11238275,  0.88761725]]))
('fan', array([[ 0.11232708,  0.88767292]]))
('support', array([[ 0.11232643,  0.88767357]]))
('leader', array([[ 0.11222519,  0.88777481]]))
('disruption', array([[ 0.11222218,  0.88777782]]))
('wigdor', array([[ 0.11221197,  0.88778803]]))
('accurate', array([[ 0.11221043,  0.88778957]]))
('three', array([[ 0.11220681,  0.88779319]]))
('template', array([[ 0.11216082,  0.88783918]]))
('hardly', array([[ 0.11211894,  0.88788106]]))
('gas', array([[ 0.11209512,  0.88790488]]))
('italian', array([[ 0.11203349,  0.88796651]]))
('copyvio', array([[ 0.11203292,  0.88796708]]))
('sockpuppets', array([[ 0.11200748,  0.88799252]]))
('game', array([[ 0.11199053,  0.88800947]]))
('able', array([[ 0.11196596,  0.88803404]]))
('shared', array([[ 0.11195875,  0.88804125]]))
('protection', array([[ 0.11194084,  0.88805916]]))
('june', array([[ 0.11191627,  0.88808373]]))
('origin', array([[ 0.11190629,  0.88809371]]))
('encyclopedic', array([[ 0.11186634,  0.88813366]]))
('degree', array([[ 0.11183831,  0.88816169]]))
('clear', array([[ 0.11182424,  0.88817576]]))
('confusing', array([[ 0.11180956,  0.88819044]]))
('persian', array([[ 0.11173647,  0.88826353]]))
('username', array([[ 0.11172329,  0.88827671]]))
('subject', array([[ 0.11170034,  0.88829966]]))
('25', array([[ 0.11168057,  0.88831943]]))
('objections', array([[ 0.11164414,  0.88835586]]))
('idea', array([[ 0.11158276,  0.88841724]]))
('useful', array([[ 0.11155572,  0.88844428]]))
('page', array([[ 0.11140873,  0.88859127]]))
('file', array([[ 0.11139532,  0.88860468]]))
('redirects', array([[ 0.1113532,  0.8886468]]))
('reason', array([[ 0.11126412,  0.88873588]]))
('club', array([[ 0.1112526,  0.8887474]]))
('table', array([[ 0.11124714,  0.88875286]]))
('put', array([[ 0.11119984,  0.88880016]]))
('50', array([[ 0.1111803,  0.8888197]]))
('reasons', array([[ 0.11112981,  0.88887019]]))
('work', array([[ 0.11108472,  0.88891528]]))
('several', array([[ 0.11106662,  0.88893338]]))
('decision', array([[ 0.11105017,  0.88894983]]))
('59', array([[ 0.11103432,  0.88896568]]))
('august', array([[ 0.11101975,  0.88898025]]))
('80', array([[ 0.11096478,  0.88903522]]))
('reasonable', array([[ 0.11094384,  0.88905616]]))
('needs', array([[ 0.11093142,  0.88906858]]))
('opinions', array([[ 0.11091232,  0.88908768]]))
('during', array([[ 0.1109111,  0.8890889]]))
('meant', array([[ 0.11087517,  0.88912483]]))
('looking', array([[ 0.11084326,  0.88915674]]))
('cat', array([[ 0.11082102,  0.88917898]]))
('months', array([[ 0.11077315,  0.88922685]]))
('according', array([[ 0.11071496,  0.88928504]]))
('notability', array([[ 0.11070866,  0.88929134]]))
('posts', array([[ 0.11067845,  0.88932155]]))
('active', array([[ 0.11065913,  0.88934087]]))
('meaning', array([[ 0.11059988,  0.88940012]]))
('century', array([[ 0.11058391,  0.88941609]]))
('groups', array([[ 0.11055833,  0.88944167]]))
('free', array([[ 0.11049545,  0.88950455]]))
('22', array([[ 0.11046683,  0.88953317]]))
('news', array([[ 0.11045081,  0.88954919]]))
('german', array([[ 0.11043057,  0.88956943]]))
('third', array([[ 0.11031268,  0.88968732]]))
('wow', array([[ 0.11029953,  0.88970047]]))
('uses', array([[ 0.11014062,  0.88985938]]))
('around', array([[ 0.11010979,  0.88989021]]))
('haven', array([[ 0.11000517,  0.88999483]]))
('press', array([[ 0.10993844,  0.89006156]]))
('spanish', array([[ 0.10991827,  0.89008173]]))
('uk', array([[ 0.10991059,  0.89008941]]))
('kurds', array([[ 0.10990406,  0.89009594]]))
('gov', array([[ 0.10987528,  0.89012472]]))
('relationship', array([[ 0.10981922,  0.89018078]]))
('themselves', array([[ 0.10978098,  0.89021902]]))
('notes', array([[ 0.10973672,  0.89026328]]))
('when', array([[ 0.10972606,  0.89027394]]))
('later', array([[ 0.10971471,  0.89028529]]))
('behalf', array([[ 0.10969438,  0.89030562]]))
('procedure', array([[ 0.10967543,  0.89032457]]))
('case', array([[ 0.10964653,  0.89035347]]))
('500', array([[ 0.10962624,  0.89037376]]))
('dispute', array([[ 0.10961111,  0.89038889]]))
('2005', array([[ 0.10959597,  0.89040403]]))
('versions', array([[ 0.10954774,  0.89045226]]))
('experience', array([[ 0.10948717,  0.89051283]]))
