('thank', array([[ 0.99522839,  0.00477161]]))
('imagine', array([[ 0.92965599,  0.07034401]]))
('violate', array([[ 0.92965006,  0.07034994]]))
('location', array([[ 0.9295855,  0.0704145]]))
('wonder', array([[ 0.92954111,  0.07045889]]))
('qualify', array([[ 0.92951487,  0.07048513]]))
('picked', array([[ 0.92950833,  0.07049167]]))
('rofl', array([[ 0.92945123,  0.07054877]]))
('fundamental', array([[ 0.92943215,  0.07056785]]))
('scope', array([[ 0.92941972,  0.07058028]]))
('commodity', array([[ 0.92938562,  0.07061438]]))
('ready', array([[ 0.92938218,  0.07061782]]))
('challenged', array([[ 0.92937151,  0.07062849]]))
('constantly', array([[ 0.92933404,  0.07066596]]))
('authorities', array([[ 0.92929274,  0.07070726]]))
('cult', array([[ 0.92920199,  0.07079801]]))
('displayed', array([[ 0.92918018,  0.07081982]]))
('bye', array([[ 0.92913716,  0.07086284]]))
('strike', array([[ 0.92912744,  0.07087256]]))
('films', array([[ 0.92910722,  0.07089278]]))
('thousands', array([[ 0.92910247,  0.07089753]]))
('makes', array([[ 0.92909183,  0.07090817]]))
('owned', array([[ 0.92904487,  0.07095513]]))
('than', array([[ 0.92899454,  0.07100546]]))
('allegation', array([[ 0.92899214,  0.07100786]]))
('guys', array([[ 0.92885891,  0.07114109]]))
('wind', array([[ 0.92882315,  0.07117685]]))
('european', array([[ 0.92882139,  0.07117861]]))
('president', array([[ 0.92877467,  0.07122533]]))
('wars', array([[ 0.92876527,  0.07123473]]))
('rely', array([[ 0.928752,  0.071248]]))
('opposing', array([[ 0.92872138,  0.07127862]]))
('tool', array([[ 0.92866564,  0.07133436]]))
('constructive', array([[ 0.92864778,  0.07135222]]))
('allowing', array([[ 0.9286236,  0.0713764]]))
('learning', array([[ 0.92860893,  0.07139107]]))
('accordance', array([[ 0.92856531,  0.07143469]]))
('federal', array([[ 0.92855424,  0.07144576]]))
('alter', array([[ 0.92850252,  0.07149748]]))
('5px', array([[ 0.92843311,  0.07156689]]))
('oil', array([[ 0.92842511,  0.07157489]]))
('warned', array([[ 0.92838312,  0.07161688]]))
('attacking', array([[ 0.92837516,  0.07162484]]))
('back', array([[ 0.92835308,  0.07164692]]))
('bunksteve', array([[ 0.9283314,  0.0716686]]))
('teams', array([[ 0.92831747,  0.07168253]]))
('bigger', array([[ 0.92820867,  0.07179133]]))
('father', array([[ 0.92820072,  0.07179928]]))
('revert', array([[ 0.92814364,  0.07185636]]))
('truly', array([[ 0.92806228,  0.07193772]]))
('duplicate', array([[ 0.92801327,  0.07198673]]))
('attention', array([[ 0.92800796,  0.07199204]]))
('helped', array([[ 0.92794866,  0.07205134]]))
('privileges', array([[ 0.92794047,  0.07205953]]))
('topics', array([[ 0.92788533,  0.07211467]]))
('naturally', array([[ 0.92786385,  0.07213615]]))
('florida', array([[ 0.92786251,  0.07213749]]))
('stuck', array([[ 0.92783345,  0.07216655]]))
('bleachanhero', array([[ 0.92778321,  0.07221679]]))
('salute', array([[ 0.92777738,  0.07222262]]))
('prime', array([[ 0.92774682,  0.07225318]]))
('nominate', array([[ 0.92774407,  0.07225593]]))
('erase', array([[ 0.92761955,  0.07238045]]))
('powers', array([[ 0.92757998,  0.07242002]]))
('drop', array([[ 0.92756648,  0.07243352]]))
('dozens', array([[ 0.92756201,  0.07243799]]))
('surprised', array([[ 0.9275605,  0.0724395]]))
('hearing', array([[ 0.92749813,  0.07250187]]))
('coming', array([[ 0.92748408,  0.07251592]]))
('now', array([[ 0.92746877,  0.07253123]]))
('propaganda', array([[ 0.92742333,  0.07257667]]))
('demonstrated', array([[ 0.92740185,  0.07259815]]))
('complaints', array([[ 0.92730017,  0.07269983]]))
('puppets', array([[ 0.92717944,  0.07282056]]))
('fast', array([[ 0.92715399,  0.07284601]]))
('fits', array([[ 0.92713052,  0.07286948]]))
('90', array([[ 0.92706012,  0.07293988]]))
('brother', array([[ 0.92697378,  0.07302622]]))
('100', array([[ 0.92696513,  0.07303487]]))
('register', array([[ 0.92687794,  0.07312206]]))
('whole', array([[ 0.92686907,  0.07313093]]))
('members', array([[ 0.92684447,  0.07315553]]))
('iran', array([[ 0.92682241,  0.07317759]]))
('asian', array([[ 0.92681958,  0.07318042]]))
('ips', array([[ 0.92681497,  0.07318503]]))
('intellectual', array([[ 0.92674908,  0.07325092]]))
('won', array([[ 0.92673732,  0.07326268]]))
('alive', array([[ 0.92672108,  0.07327892]]))
('minutes', array([[ 0.92671507,  0.07328493]]))
('reasoning', array([[ 0.92666002,  0.07333998]]))
('yourselfgo', array([[ 0.92660603,  0.07339397]]))
('old', array([[ 0.926605,  0.073395]]))
('jim', array([[ 0.92660371,  0.07339629]]))
('minorities', array([[ 0.92654398,  0.07345602]]))
('do', array([[ 0.92648769,  0.07351231]]))
('raid', array([[ 0.92647838,  0.07352162]]))
('jan', array([[ 0.92645774,  0.07354226]]))
('outside', array([[ 0.92641354,  0.07358646]]))
('reversions', array([[ 0.92634831,  0.07365169]]))
('sitush', array([[ 0.92631766,  0.07368234]]))
('cia', array([[ 0.92630676,  0.07369324]]))
('hatred', array([[ 0.92630622,  0.07369378]]))
('else', array([[ 0.92628222,  0.07371778]]))
('several', array([[ 0.92626778,  0.07373222]]))
('australia', array([[ 0.92613933,  0.07386067]]))
('encouraged', array([[ 0.92611562,  0.07388438]]))
('belongs', array([[ 0.92606201,  0.07393799]]))
('10', array([[ 0.92600367,  0.07399633]]))
('stating', array([[ 0.92594527,  0.07405473]]))
('founder', array([[ 0.92581357,  0.07418643]]))
('nl33ers', array([[ 0.9258121,  0.0741879]]))
('muahahahahahahahahahahahahahahahahahaha', array([[ 0.92579868,  0.07420132]]))
('pseudo', array([[ 0.92579178,  0.07420822]]))
('grade', array([[ 0.92573967,  0.07426033]]))
('administrator', array([[ 0.92573802,  0.07426198]]))
('absurd', array([[ 0.9256744,  0.0743256]]))
('ideology', array([[ 0.92567281,  0.07432719]]))
('mission', array([[ 0.92565542,  0.07434458]]))
('gayi', array([[ 0.92558972,  0.07441028]]))
('every', array([[ 0.92551624,  0.07448376]]))
('failed', array([[ 0.92551174,  0.07448826]]))
('global', array([[ 0.92549455,  0.07450545]]))
('bogus', array([[ 0.92548174,  0.07451826]]))
('york', array([[ 0.92547582,  0.07452418]]))
('ip', array([[ 0.92545458,  0.07454542]]))
('small', array([[ 0.92543976,  0.07456024]]))
('feels', array([[ 0.92537282,  0.07462718]]))
('probably', array([[ 0.92523222,  0.07476778]]))
('too', array([[ 0.92522016,  0.07477984]]))
('admin', array([[ 0.9252195,  0.0747805]]))
('kurdish', array([[ 0.92520866,  0.07479134]]))
('arbcom', array([[ 0.92520563,  0.07479437]]))
('mere', array([[ 0.9251522,  0.0748478]]))
('fit', array([[ 0.92514636,  0.07485364]]))
('telling', array([[ 0.92511376,  0.07488624]]))
('deletes', array([[ 0.92501244,  0.07498756]]))
('with', array([[ 0.92500958,  0.07499042]]))
('proxy', array([[ 0.92500854,  0.07499146]]))
('processes', array([[ 0.92500184,  0.07499816]]))
('soul', array([[ 0.92498988,  0.07501012]]))
('weasel', array([[ 0.92479808,  0.07520192]]))
('people', array([[ 0.92479324,  0.07520676]]))
('goodbye', array([[ 0.92474804,  0.07525196]]))
('respected', array([[ 0.92473923,  0.07526077]]))
('share', array([[ 0.92473133,  0.07526867]]))
('chocobos', array([[ 0.92469888,  0.07530112]]))
('belong', array([[ 0.92469673,  0.07530327]]))
('los', array([[ 0.92460692,  0.07539308]]))
('aggressive', array([[ 0.92458339,  0.07541661]]))
('fine', array([[ 0.92454897,  0.07545103]]))
('officials', array([[ 0.92451324,  0.07548676]]))
('office', array([[ 0.92450889,  0.07549111]]))
('opposed', array([[ 0.92437379,  0.07562621]]))
('slavic', array([[ 0.92436133,  0.07563867]]))
('agenda', array([[ 0.92434563,  0.07565437]]))
('tagged', array([[ 0.92431505,  0.07568495]]))
('inc', array([[ 0.92431503,  0.07568497]]))
('unsigned', array([[ 0.92430223,  0.07569777]]))
('wild', array([[ 0.92430045,  0.07569955]]))
('caste', array([[ 0.92427386,  0.07572614]]))
('deserves', array([[ 0.92425048,  0.07574952]]))
('victims', array([[ 0.92424891,  0.07575109]]))
('proves', array([[ 0.92423168,  0.07576832]]))
('unfortunate', array([[ 0.92415227,  0.07584773]]))
('papers', array([[ 0.92409701,  0.07590299]]))
('sound', array([[ 0.92392685,  0.07607315]]))
('revision', array([[ 0.92388435,  0.07611565]]))
('speak', array([[ 0.92384931,  0.07615069]]))
('worth', array([[ 0.92378799,  0.07621201]]))
('false', array([[ 0.92378745,  0.07621255]]))
('industry', array([[ 0.92372404,  0.07627596]]))
('deleted', array([[ 0.92362824,  0.07637176]]))
('dates', array([[ 0.92360589,  0.07639411]]))
('least', array([[ 0.92359323,  0.07640677]]))
('pc', array([[ 0.92352418,  0.07647582]]))
('lmao', array([[ 0.9235226,  0.0764774]]))
('wales', array([[ 0.92351357,  0.07648643]]))
('try', array([[ 0.92351296,  0.07648704]]))
('animals', array([[ 0.92349543,  0.07650457]]))
('judging', array([[ 0.9234785,  0.0765215]]))
('npa', array([[ 0.92337486,  0.07662514]]))
('speed', array([[ 0.92334574,  0.07665426]]))
('hypothesis', array([[ 0.92319327,  0.07680673]]))
('terrorism', array([[ 0.92311513,  0.07688487]]))
('completely', array([[ 0.92298421,  0.07701579]]))
('message', array([[ 0.92298061,  0.07701939]]))
('regularly', array([[ 0.92289595,  0.07710405]]))
('regular', array([[ 0.92281954,  0.07718046]]))
('albania', array([[ 0.9227525,  0.0772475]]))
('stalin', array([[ 0.9226299,  0.0773701]]))
('meat', array([[ 0.92258022,  0.07741978]]))
('serbs', array([[ 0.92249489,  0.07750511]]))
('1990', array([[ 0.9224291,  0.0775709]]))
('liberal', array([[ 0.92236717,  0.07763283]]))
('placing', array([[ 0.92229957,  0.07770043]]))
('left', array([[ 0.9222312,  0.0777688]]))
('edition', array([[ 0.92214175,  0.07785825]]))
('chester', array([[ 0.92204979,  0.07795021]]))
('300', array([[ 0.92200857,  0.07799143]]))
('banning', array([[ 0.92199268,  0.07800732]]))
('threatened', array([[ 0.92190677,  0.07809323]]))
('whatsoever', array([[ 0.92189988,  0.07810012]]))
('governments', array([[ 0.92181775,  0.07818225]]))
('bell', array([[ 0.92179832,  0.07820168]]))
('election', array([[ 0.92161713,  0.07838287]]))
('profile', array([[ 0.92159703,  0.07840297]]))
('islam', array([[ 0.92156967,  0.07843033]]))
('checkuser', array([[ 0.92153796,  0.07846204]]))
('create', array([[ 0.92152838,  0.07847162]]))
('seconds', array([[ 0.92147359,  0.07852641]]))
('mothjer', array([[ 0.92145405,  0.07854595]]))
('wrestling', array([[ 0.92141132,  0.07858868]]))
('continues', array([[ 0.9212898,  0.0787102]]))
('types', array([[ 0.92125221,  0.07874779]]))
('usual', array([[ 0.92109069,  0.07890931]]))
('save', array([[ 0.92103438,  0.07896562]]))
('ancestryfuck', array([[ 0.92094873,  0.07905127]]))
('basic', array([[ 0.92091692,  0.07908308]]))
('organisation', array([[ 0.92090657,  0.07909343]]))
('ffffff', array([[ 0.92070534,  0.07929466]]))
('thomas', array([[ 0.92069897,  0.07930103]]))
('disease', array([[ 0.92063695,  0.07936305]]))
('levels', array([[ 0.92059979,  0.07940021]]))
('ten', array([[ 0.92057832,  0.07942168]]))
('hurt', array([[ 0.92049931,  0.07950069]]))
('scientist', array([[ 0.92049304,  0.07950696]]))
('accused', array([[ 0.92031985,  0.07968015]]))
('hot', array([[ 0.92027812,  0.07972188]]))
('spelled', array([[ 0.92013364,  0.07986636]]))
('persons', array([[ 0.92010646,  0.07989354]]))
('guru', array([[ 0.92009633,  0.07990367]]))
('hat', array([[ 0.92005272,  0.07994728]]))
('users', array([[ 0.92005212,  0.07994788]]))
('terrible', array([[ 0.92000319,  0.07999681]]))
('demand', array([[ 0.9199727,  0.0800273]]))
('jesus', array([[ 0.9198394,  0.0801606]]))
('filled', array([[ 0.91979858,  0.08020142]]))
('entire', array([[ 0.9197506,  0.0802494]]))
('calm', array([[ 0.91973404,  0.08026596]]))
('screen', array([[ 0.91968896,  0.08031104]]))
('losing', array([[ 0.91966202,  0.08033798]]))
('vandalized', array([[ 0.91956405,  0.08043595]]))
('money', array([[ 0.91950062,  0.08049938]]))
('catholic', array([[ 0.91947635,  0.08052365]]))
('day', array([[ 0.91945653,  0.08054347]]))
('sock', array([[ 0.91945493,  0.08054507]]))
('earlier', array([[ 0.91941876,  0.08058124]]))
('matters', array([[ 0.91931824,  0.08068176]]))
('wear', array([[ 0.91930145,  0.08069855]]))
('living', array([[ 0.91929276,  0.08070724]]))
('corrected', array([[ 0.91923757,  0.08076243]]))
('smart', array([[ 0.91923511,  0.08076489]]))
('individuals', array([[ 0.91922587,  0.08077413]]))
('macedonians', array([[ 0.91918763,  0.08081237]]))
('fyrom', array([[ 0.91917712,  0.08082288]]))
('muslims', array([[ 0.91911113,  0.08088887]]))
('uncivil', array([[ 0.91905628,  0.08094372]]))
('45', array([[ 0.9189739,  0.0810261]]))
('tony', array([[ 0.91886461,  0.08113539]]))
('costs', array([[ 0.91878776,  0.08121224]]))
('finally', array([[ 0.91869337,  0.08130663]]))
('attempting', array([[ 0.91868008,  0.08131992]]))
('listen', array([[ 0.91855904,  0.08144096]]))
('existence', array([[ 0.91842323,  0.08157677]]))
('school', array([[ 0.91840103,  0.08159897]]))
('buy', array([[ 0.918364,  0.081636]]))
('utterly', array([[ 0.91835764,  0.08164236]]))
('fear', array([[ 0.91825431,  0.08174569]]))
('ground', array([[ 0.91813233,  0.08186767]]))
('self', array([[ 0.91784548,  0.08215452]]))
('touch', array([[ 0.91782329,  0.08217671]]))
('re', array([[ 0.91782055,  0.08217945]]))
('male', array([[ 0.91781896,  0.08218104]]))
('gwen', array([[ 0.91781039,  0.08218961]]))
('doctor', array([[ 0.91779379,  0.08220621]]))
('insulting', array([[ 0.91778045,  0.08221955]]))
('deliberately', array([[ 0.91776337,  0.08223663]]))
('hardcore', array([[ 0.91767462,  0.08232538]]))
('tax', array([[ 0.9176399,  0.0823601]]))
('award', array([[ 0.91763725,  0.08236275]]))
('attacked', array([[ 0.91753831,  0.08246169]]))
('fired', array([[ 0.91748981,  0.08251019]]))
('useful', array([[ 0.91745249,  0.08254751]]))
('yourselves', array([[ 0.91739282,  0.08260718]]))
('daily', array([[ 0.91739255,  0.08260745]]))
('runs', array([[ 0.9173872,  0.0826128]]))
('spend', array([[ 0.91735185,  0.08264815]]))
('authority', array([[ 0.91727705,  0.08272295]]))
('padding', array([[ 0.91724929,  0.08275071]]))
('administration', array([[ 0.91721757,  0.08278243]]))
('africa', array([[ 0.91700398,  0.08299602]]))
('movies', array([[ 0.91698885,  0.08301115]]))
('time', array([[ 0.91697521,  0.08302479]]))
('persistent', array([[ 0.91693662,  0.08306338]]))
('female', array([[ 0.9169209,  0.0830791]]))
('slow', array([[ 0.91689119,  0.08310881]]))
('fbi', array([[ 0.91684214,  0.08315786]]))
('shorter', array([[ 0.91683226,  0.08316774]]))
('fed', array([[ 0.91680007,  0.08319993]]))
('mangina', array([[ 0.91676454,  0.08323546]]))
('youbollocks', array([[ 0.91664974,  0.08335026]]))
('criticisms', array([[ 0.91662967,  0.08337033]]))
('putting', array([[ 0.91659302,  0.08340698]]))
('computer', array([[ 0.91658963,  0.08341037]]))
('bite', array([[ 0.91658615,  0.08341385]]))
('oh', array([[ 0.91656412,  0.08343588]]))
('steve', array([[ 0.91649794,  0.08350206]]))
('lol', array([[ 0.9164735,  0.0835265]]))
('push', array([[ 0.91636368,  0.08363632]]))
('haha', array([[ 0.91634087,  0.08365913]]))
('consider', array([[ 0.91633361,  0.08366639]]))
('bullying', array([[ 0.91614082,  0.08385918]]))
('everyone', array([[ 0.91585229,  0.08414771]]))
('night', array([[ 0.91583339,  0.08416661]]))
('posted', array([[ 0.91568275,  0.08431725]]))
('jimbo', array([[ 0.9156736,  0.0843264]]))
('marcolfuck', array([[ 0.91560318,  0.08439682]]))
('what', array([[ 0.91545776,  0.08454224]]))
('baseball', array([[ 0.91534528,  0.08465472]]))
('human', array([[ 0.9153136,  0.0846864]]))
('whoever', array([[ 0.91524647,  0.08475353]]))
('trying', array([[ 0.91519906,  0.08480094]]))
('minute', array([[ 0.91519811,  0.08480189]]))
('heck', array([[ 0.91517345,  0.08482655]]))
('jokes', array([[ 0.91516653,  0.08483347]]))
('middle', array([[ 0.91516542,  0.08483458]]))
('eating', array([[ 0.91513,  0.08487]]))
('spelling', array([[ 0.91500286,  0.08499714]]))
('bailey', array([[ 0.91499887,  0.08500113]]))
('bring', array([[ 0.91492633,  0.08507367]]))
('eye', array([[ 0.9149016,  0.0850984]]))
('clearly', array([[ 0.91473375,  0.08526625]]))
('korean', array([[ 0.91458975,  0.08541025]]))
('virgin', array([[ 0.91446303,  0.08553697]]))
('bridge', array([[ 0.91422994,  0.08577006]]))
('ego', array([[ 0.91421103,  0.08578897]]))
('obama', array([[ 0.91420283,  0.08579717]]))
('thats', array([[ 0.91412817,  0.08587183]]))
('em', array([[ 0.91408672,  0.08591328]]))
('recorded', array([[ 0.9139905,  0.0860095]]))
('3px', array([[ 0.91396784,  0.08603216]]))
('oxymoron', array([[ 0.91393238,  0.08606762]]))
('usa', array([[ 0.91393149,  0.08606851]]))
('engaging', array([[ 0.91388059,  0.08611941]]))
('00', array([[ 0.91387366,  0.08612634]]))
('episodes', array([[ 0.91379001,  0.08620999]]))
('hours', array([[ 0.9137336,  0.0862664]]))
('waste', array([[ 0.91360312,  0.08639688]]))
('hello', array([[ 0.91360074,  0.08639926]]))
('romney', array([[ 0.91356806,  0.08643194]]))
('having', array([[ 0.91355015,  0.08644985]]))
('hard', array([[ 0.91353275,  0.08646725]]))
('centraliststupid', array([[ 0.91333746,  0.08666254]]))
('rules', array([[ 0.91333441,  0.08666559]]))
('continually', array([[ 0.91320674,  0.08679326]]))
('excuse', array([[ 0.91299006,  0.08700994]]))
('proven', array([[ 0.91298477,  0.08701523]]))
('addition', array([[ 0.91297029,  0.08702971]]))
('send', array([[ 0.91286823,  0.08713177]]))
('hazel', array([[ 0.91263438,  0.08736562]]))
('gayfrozen', array([[ 0.91260679,  0.08739321]]))
('encyclopedia', array([[ 0.91260537,  0.08739463]]))
('cuntbag', array([[ 0.91249025,  0.08750975]]))
('them', array([[ 0.91243403,  0.08756597]]))
('his', array([[ 0.91240266,  0.08759734]]))
('individual', array([[ 0.91233382,  0.08766618]]))
('call', array([[ 0.91232844,  0.08767156]]))
('hiding', array([[ 0.91224687,  0.08775313]]))
('worship', array([[ 0.91213392,  0.08786608]]))
('bin', array([[ 0.91211349,  0.08788651]]))
('massive', array([[ 0.91210165,  0.08789835]]))
('within', array([[ 0.9120902,  0.0879098]]))
('yeah', array([[ 0.91208733,  0.08791267]]))
('group', array([[ 0.91201906,  0.08798094]]))
('fa', array([[ 0.91187153,  0.08812847]]))
('stands', array([[ 0.9118173,  0.0881827]]))
('her', array([[ 0.91168136,  0.08831864]]))
('simple', array([[ 0.91160026,  0.08839974]]))
('mitt', array([[ 0.9115858,  0.0884142]]))
('radio', array([[ 0.91157676,  0.08842324]]))
('an', array([[ 0.91149241,  0.08850759]]))
('place', array([[ 0.91143928,  0.08856072]]))
('project', array([[ 0.91138111,  0.08861889]]))
('stalking', array([[ 0.91130484,  0.08869516]]))
('total', array([[ 0.91126285,  0.08873715]]))
('boy', array([[ 0.91125061,  0.08874939]]))
('messages', array([[ 0.91111564,  0.08888436]]))
('no', array([[ 0.911033,  0.088967]]))
('fyi', array([[ 0.91099384,  0.08900616]]))
('trivial', array([[ 0.91088801,  0.08911199]]))
('acting', array([[ 0.91083568,  0.08916432]]))
('1st', array([[ 0.91077464,  0.08922536]]))
('wife', array([[ 0.91065141,  0.08934859]]))
('protected', array([[ 0.91063559,  0.08936441]]))
('and', array([[ 0.91061619,  0.08938381]]))
('degree', array([[ 0.91058635,  0.08941365]]))
('am', array([[ 0.91053932,  0.08946068]]))
('proud', array([[ 0.91038958,  0.08961042]]))
('hostile', array([[ 0.91032838,  0.08967162]]))
('personality', array([[ 0.91016411,  0.08983589]]))
('girl', array([[ 0.90986087,  0.09013913]]))
('salt', array([[ 0.90985548,  0.09014452]]))
('whose', array([[ 0.90967608,  0.09032392]]))
('terrorists', array([[ 0.90954166,  0.09045834]]))
('lady', array([[ 0.90943304,  0.09056696]]))
('contain', array([[ 0.90937173,  0.09062827]]))
('property', array([[ 0.90925982,  0.09074018]]))
('proof', array([[ 0.90922506,  0.09077494]]))
('lord', array([[ 0.90900508,  0.09099492]]))
('replies', array([[ 0.90880652,  0.09119348]]))
('yet', array([[ 0.90878909,  0.09121091]]))
('serving', array([[ 0.90858089,  0.09141911]]))
('feelings', array([[ 0.90857844,  0.09142156]]))
('licker', array([[ 0.90854198,  0.09145802]]))
('song', array([[ 0.90848632,  0.09151368]]))
('contributors', array([[ 0.90841978,  0.09158022]]))
('proved', array([[ 0.908415,  0.091585]]))
('replace', array([[ 0.90806376,  0.09193624]]))
('spent', array([[ 0.90802141,  0.09197859]]))
('cougar', array([[ 0.90795011,  0.09204989]]))
('arabs', array([[ 0.90789939,  0.09210061]]))
('row', array([[ 0.9077104,  0.0922896]]))
('websites', array([[ 0.90751741,  0.09248259]]))
('hero', array([[ 0.90750119,  0.09249881]]))
('reporting', array([[ 0.90713138,  0.09286862]]))
('tommy2010', array([[ 0.90704987,  0.09295013]]))
('wants', array([[ 0.90691875,  0.09308125]]))
('sleep', array([[ 0.9066518,  0.0933482]]))
('fggt', array([[ 0.90653159,  0.09346841]]))
('fight', array([[ 0.90650586,  0.09349414]]))
('joke', array([[ 0.906382,  0.093618]]))
('bill', array([[ 0.90617255,  0.09382745]]))
('identity', array([[ 0.90610081,  0.09389919]]))
('openly', array([[ 0.90587151,  0.09412849]]))
('minds', array([[ 0.90585492,  0.09414508]]))
('train', array([[ 0.90563824,  0.09436176]]))
('live', array([[ 0.90561841,  0.09438159]]))
('comes', array([[ 0.90533149,  0.09466851]]))
('bush', array([[ 0.90530361,  0.09469639]]))
('viewpoints', array([[ 0.90529232,  0.09470768]]))
('full', array([[ 0.90526011,  0.09473989]]))
('248', array([[ 0.90520743,  0.09479257]]))
('queen', array([[ 0.90519488,  0.09480512]]))
('has', array([[ 0.90516339,  0.09483661]]))
('him', array([[ 0.90514061,  0.09485939]]))
('abusive', array([[ 0.90508437,  0.09491563]]))
('verifiable', array([[ 0.90482815,  0.09517185]]))
('turks', array([[ 0.90463423,  0.09536577]]))
('goals', array([[ 0.90461949,  0.09538051]]))
('pleasure', array([[ 0.90450972,  0.09549028]]))
('land', array([[ 0.90421998,  0.09578002]]))
('busy', array([[ 0.90417765,  0.09582235]]))
('lovers', array([[ 0.9039716,  0.0960284]]))
('pure', array([[ 0.90366616,  0.09633384]]))
('encyclopedic', array([[ 0.90356558,  0.09643442]]))
('poor', array([[ 0.90345066,  0.09654934]]))
('label', array([[ 0.90333859,  0.09666141]]))
('fred', array([[ 0.903303,  0.096697]]))
('stick', array([[ 0.90314673,  0.09685327]]))
('conversation', array([[ 0.90313885,  0.09686115]]))
('proving', array([[ 0.90313288,  0.09686712]]))
('sitting', array([[ 0.90308808,  0.09691192]]))
('kind', array([[ 0.90305282,  0.09694718]]))
('stay', array([[ 0.90301676,  0.09698324]]))
('insults', array([[ 0.90301542,  0.09698458]]))
('starting', array([[ 0.90297201,  0.09702799]]))
('semitism', array([[ 0.90247027,  0.09752973]]))
('harassment', array([[ 0.90227082,  0.09772918]]))
('99', array([[ 0.90219876,  0.09780124]]))
('myself', array([[ 0.9020963,  0.0979037]]))
('wanna', array([[ 0.90199443,  0.09800557]]))
('boys', array([[ 0.90190875,  0.09809125]]))
('fucksex', array([[ 0.9017107,  0.0982893]]))
('soon', array([[ 0.90168902,  0.09831098]]))
('criminalwar', array([[ 0.901613,  0.098387]]))
('attacks', array([[ 0.90156737,  0.09843263]]))
('yours', array([[ 0.90147032,  0.09852968]]))
('hadn', array([[ 0.90146444,  0.09853556]]))
('died', array([[ 0.90129005,  0.09870995]]))
('gun', array([[ 0.9012793,  0.0987207]]))
('punk', array([[ 0.9011623,  0.0988377]]))
('laws', array([[ 0.90110828,  0.09889172]]))
('blocks', array([[ 0.90106608,  0.09893392]]))
('stalker', array([[ 0.90090391,  0.09909609]]))
('holy', array([[ 0.90086097,  0.09913903]]))
('insult', array([[ 0.90083252,  0.09916748]]))
('everybody', array([[ 0.90074662,  0.09925338]]))
('still', array([[ 0.90050782,  0.09949218]]))
('eyes', array([[ 0.90035938,  0.09964062]]))
('anything', array([[ 0.90030779,  0.09969221]]))
('faith', array([[ 0.9002257,  0.0997743]]))
('playing', array([[ 0.90008559,  0.09991441]]))
('ps', array([[ 0.90003042,  0.09996958]]))
('actual', array([[ 0.89996004,  0.10003996]]))
('dust', array([[ 0.89975924,  0.10024076]]))
('punished', array([[ 0.89954163,  0.10045837]]))
('behaviour', array([[ 0.89935237,  0.10064763]]))
('cell', array([[ 0.89897038,  0.10102962]]))
('decline', array([[ 0.89823965,  0.10176035]]))
('destroyed', array([[ 0.89779708,  0.10220292]]))
('beat', array([[ 0.89778199,  0.10221801]]))
('hair', array([[ 0.8976857,  0.1023143]]))
('shithead', array([[ 0.89760012,  0.10239988]]))
('cheese', array([[ 0.89758876,  0.10241124]]))
('don', array([[ 0.89738473,  0.10261527]]))
('instead', array([[ 0.89737641,  0.10262359]]))
('wait', array([[ 0.89724733,  0.10275267]]))
('chicken', array([[ 0.8971766,  0.1028234]]))
('heil', array([[ 0.89700701,  0.10299299]]))
('congress', array([[ 0.89695546,  0.10304454]]))
('cabal', array([[ 0.89692452,  0.10307548]]))
('admins', array([[ 0.8965743,  0.1034257]]))
('master', array([[ 0.89655463,  0.10344537]]))
('plan', array([[ 0.89626015,  0.10373985]]))
('hanibal911you', array([[ 0.89611567,  0.10388433]]))
('repeatedly', array([[ 0.89604465,  0.10395535]]))
('sending', array([[ 0.89600918,  0.10399082]]))
('fraud', array([[ 0.89580126,  0.10419874]]))
('she', array([[ 0.8955921,  0.1044079]]))
('pull', array([[ 0.89519173,  0.10480827]]))
('vandalizing', array([[ 0.89510162,  0.10489838]]))
('mate', array([[ 0.89499916,  0.10500084]]))
('large', array([[ 0.89470536,  0.10529464]]))
('act', array([[ 0.89459143,  0.10540857]]))
('speech', array([[ 0.89447056,  0.10552944]]))
('purpose', array([[ 0.8943653,  0.1056347]]))
('removing', array([[ 0.89396132,  0.10603868]]))
('told', array([[ 0.89388001,  0.10611999]]))
('nationalistic', array([[ 0.89366583,  0.10633417]]))
('anti', array([[ 0.89336543,  0.10663457]]))
('huh', array([[ 0.89300621,  0.10699379]]))
('administrators', array([[ 0.89298864,  0.10701136]]))
('foot', array([[ 0.89298035,  0.10701965]]))
('enough', array([[ 0.89291547,  0.10708453]]))
('blood', array([[ 0.89252112,  0.10747888]]))
('kick', array([[ 0.89213637,  0.10786363]]))
('mr', array([[ 0.89195827,  0.10804173]]))
('killing', array([[ 0.89168266,  0.10831734]]))
('dictator', array([[ 0.89143519,  0.10856481]]))
('angeles', array([[ 0.8914001,  0.1085999]]))
('eat', array([[ 0.89123202,  0.10876798]]))
('nonsense', array([[ 0.89098434,  0.10901566]]))
('ashamed', array([[ 0.89059838,  0.10940162]]))
('refuse', array([[ 0.89013124,  0.10986876]]))
('vandalised', array([[ 0.8899388,  0.1100612]]))
('smells', array([[ 0.88963822,  0.11036178]]))
('care', array([[ 0.88946347,  0.11053653]]))
('person', array([[ 0.88934536,  0.11065464]]))
('black', array([[ 0.8893336,  0.1106664]]))
('hit', array([[ 0.88922217,  0.11077783]]))
('gamaliel', array([[ 0.88912214,  0.11087786]]))
('ring', array([[ 0.88908572,  0.11091428]]))
